ns-cloud-a4.googledomains.com	216.239.38.106 
kim.ns.cloudflare.com	172.64.32.126 108.162.192.126 173.245.58.126 
ns-cloud-a2.googledomains.com	216.239.34.106 
ns2.afternic.com	173.201.67.64 
ns4.afternic.com	173.201.66.65 
ns66.domaincontrol.com	173.201.70.43 
reza.ns.cloudflare.com	172.64.32.217 173.245.58.217 108.162.192.217 
tess.ns.cloudflare.com	172.64.32.227 173.245.58.227 108.162.192.227 
ivan.ns.cloudflare.com	172.64.33.120 108.162.193.120 173.245.59.120 
dee.ns.cloudflare.com	108.162.192.93 172.64.32.93 173.245.58.93 
ns06.domaincontrol.com	173.201.70.3 
dayana.ns.cloudflare.com	172.64.34.103 108.162.194.103 162.159.38.103 
ns-cloud-a3.googledomains.com	216.239.36.106 
ns-cloud-b3.googledomains.com	216.239.36.107 
ns15.domaincontrol.com	97.74.107.8 
zeus.ns.cloudflare.com	172.64.33.249 108.162.193.249 173.245.59.249 
ns05.domaincontrol.com	97.74.102.3 
ns-cloud-a1.googledomains.com	216.239.32.106 
samara.ns.cloudflare.com	172.64.34.160 162.159.38.160 108.162.194.160 
cris.ns.cloudflare.com	162.159.44.202 108.162.195.202 172.64.35.202 
sergi.ns.cloudflare.com	172.64.35.68 162.159.44.68 108.162.195.68 
leonard.ns.cloudflare.com	172.64.35.54 108.162.195.54 162.159.44.54 
cloe.ns.cloudflare.com	108.162.192.86 172.64.32.86 173.245.58.86 
aida.ns.cloudflare.com	108.162.192.58 173.245.58.58 172.64.32.58 
lorna.ns.cloudflare.com	172.64.32.190 108.162.192.190 173.245.58.190 
nataly.ns.cloudflare.com	108.162.194.101 172.64.34.101 162.159.38.101 
jamie.ns.cloudflare.com	172.64.32.168 173.245.58.168 108.162.192.168 
ns31.domaincontrol.com	97.74.105.16 
ns64.domaincontrol.com	173.201.69.42 
ns22.domaincontrol.com	173.201.68.11 
elaine.ns.cloudflare.com	172.64.32.152 173.245.58.152 108.162.192.152 
riya.ns.cloudflare.com	172.64.34.155 162.159.38.155 108.162.194.155 
rita.ns.cloudflare.com	172.64.32.140 173.245.58.140 108.162.192.140 
ns03.domaincontrol.com	97.74.101.2 
deb.ns.cloudflare.com	172.64.32.92 108.162.192.92 173.245.58.92 
thea.ns.cloudflare.com	162.159.38.247 108.162.194.247 172.64.34.247 
nicolas.ns.cloudflare.com	108.162.195.84 162.159.44.84 172.64.35.84 
ns43.domaincontrol.com	97.74.101.22 
ns21.domaincontrol.com	97.74.100.11 
gail.ns.cloudflare.com	172.64.32.116 108.162.192.116 173.245.58.116 
ns63.domaincontrol.com	97.74.101.42 
algin.ns.cloudflare.com	172.64.33.61 108.162.193.61 173.245.59.61 
ns32.domaincontrol.com	173.201.73.16 
ns72.domaincontrol.com	173.201.73.46 
kyle.ns.cloudflare.com	108.162.195.111 172.64.35.111 162.159.44.111 
ns-cloud-b4.googledomains.com	216.239.38.107 
ns04.domaincontrol.com	173.201.69.2 
carl.ns.cloudflare.com	173.245.59.106 108.162.193.106 172.64.33.106 
ns02.domaincontrol.com	173.201.68.1 
duke.ns.cloudflare.com	108.162.193.110 172.64.33.110 173.245.59.110 
ns56.domaincontrol.com	173.201.75.28 
ns78.domaincontrol.com	173.201.76.49 
kiki.ns.cloudflare.com	173.245.58.180 172.64.32.180 108.162.192.180 
ns77.domaincontrol.com	97.74.108.49 
ns18.domaincontrol.com	173.201.76.9 
ns17.domaincontrol.com	97.74.108.9 
coen.ns.cloudflare.com	162.159.44.151 108.162.195.151 172.64.35.151 
ns3.afternic.com	97.74.98.65 
ns54.domaincontrol.com	173.201.74.27 
ns76.domaincontrol.com	173.201.75.48 
ns53.domaincontrol.com	97.74.106.27 
millie.ns.cloudflare.com	162.159.38.181 172.64.34.181 108.162.194.181 
ignacio.ns.cloudflare.com	172.64.35.82 108.162.195.82 162.159.44.82 
mia.ns.cloudflare.com	172.64.32.200 173.245.58.200 108.162.192.200 
harmony.ns.cloudflare.com	108.162.194.146 172.64.34.146 162.159.38.146 
ns09.domaincontrol.com	97.74.104.5 
ns70.domaincontrol.com	173.201.72.45 
ns10.domaincontrol.com	173.201.72.5 
phil.ns.cloudflare.com	173.245.59.137 172.64.33.137 108.162.193.137 
